,file,ut_epoch,ra,dec,jd,bjd
153,RU_Psc_16.fits,2013-07-26 09:35:26.65,01:15:14.20,+24:24:42.30,2456499.8996140044,2456499.9010425517
154,VX_Her_20.fits,2013-07-26 05:27:58.14,16:31:25.50,+18:16:14.30,2456499.72775625,2456499.730741744
155,RR_Leo_01.fits,2012-12-23 09:59:10.11,10:08:25.40,+23:50:08.50,2456284.9160892363,2456284.92015215
156,RR_Lyr_04.fits,2013-07-26 09:06:40.35,19:26:04.10,+42:43:45.70,2456499.8796336805,2456499.8830347555
157,TU_UMa_04.fits,2012-12-23 11:22:37.61,11:30:27.00,+29:54:33.90,2456284.974046412,2456284.9766921215
158,UY_Cam_02.fits,2012-12-21 11:05:35.09,08:00:16.80,+72:37:56.80,2456282.96221169,2456282.966482345
159,T_Sex__03.fits,2012-12-23 09:41:33.54,09:54:10.90,+01:54:43.20,2456284.9038604167,2456284.907581758
160,RW_Ari_01.fits,2012-12-27 02:09:44.74,02:16:47.10,+17:30:57.10,2456288.5901011573,2456288.593887832
161,TT_Lyn_03.fits,2012-12-23 09:21:11.33,09:03:54.30,+44:26:06.20,2456284.889714468,2456284.8947425974
162,AR_Per_15.fits,2012-12-25 04:16:23.67,04:18:08.20,+47:20:06.30,2456286.678051736,2456286.6835516985
163,RR_Cet_01.fits,2012-12-22 02:04:07.93,01:32:52.00,+01:20:08.90,2456283.5862028934,2456283.5890340623
164,AR_Per_03.fits,2012-12-21 06:08:14.21,04:18:12.40,+47:19:58.80,2456282.755720023,2456282.761346463
165,TV_Lyn_01.fits,2012-12-24 07:19:19.57,07:34:23.50,+47:40:11.70,2456285.8050876157,2456285.8108086605
166,V_535__03.fits,2012-12-25 06:46:41.18,07:11:33.00,+01:10:56.10,2456286.782421065,2456286.788296279
167,VX_Her_16.fits,2013-07-26 04:14:57.54,16:31:21.80,+18:16:14.70,2456499.677054861,2456499.6800425295
168,RU_Psc_20.fits,2013-07-26 10:48:50.86,01:15:14.00,+24:24:42.70,2456499.9505886575,2456499.952022073
