Unnamed: 0,file,ut_epoch,ra,dec,jd,bjd,star_match,spec_bjd,photo_bjd,T_final,err_tot,phasemod,baseline_time,baseline_div_period
147,TW_Lyn_05.fits,2012-12-27 07:03:25.95,07:45:56.30,+42:58:47.50,2456288.794050347,2456288.7999314643,TW Lyn,2456288.7999314643,2456606.875754271,0.481860696,2.0432426949193046e-06,0.9008770640277817,-318.07582280691713,-660.0991229359722
27,TW_Lyn_06.fits,2012-12-27 07:58:55.55,07:45:56.30,+42:59:11.20,2456288.832587384,2456288.8384692282,TW Lyn,2456288.8384692282,2456606.875754271,0.481860696,2.0432426949193046e-06,0.9808540455711636,-318.03728504292667,-660.0191459544288
13,TW_Lyn_07.fits,2012-12-27 09:45:13.84,07:45:59.30,+42:59:04.20,2456288.906410185,2456288.9122935347,TW Lyn,2456288.9122935347,2456606.875754271,0.481860696,2.0432426949193046e-06,0.1340607858119256,-317.96346073644236,-659.8659392141881
21,T_Sex__01.fits,2012-12-23 08:24:19.74,09:54:11.60,+01:54:59.40,2456284.8502284717,2456284.8539452115,T Sex,2456284.8539452115,2456275.8230192345,0.3247475,5.7375063422116185e-06,0.8090700530221397,9.030925977043808,27.80907005302214
140,T_Sex__02.fits,2012-12-23 08:37:39.81,09:54:11.60,+01:54:59.40,2456284.8594885417,2456284.8632060685,T Sex,2456284.8632060685,2456275.8230192345,0.3247475,5.7375063422116185e-06,0.8375871532680925,9.04018683405593,27.837587153268093
159,T_Sex__03.fits,2012-12-23 09:41:33.54,09:54:10.90,+01:54:43.20,2456284.9038604167,2456284.907581758,T Sex,2456284.907581758,2456275.8230192345,0.3247475,5.7375063422116185e-06,0.974233900972834,9.084562523756176,27.974233900972834
91,T_Sex__04.fits,2012-12-23 11:44:59.36,09:54:13.40,+01:55:03.80,2456284.9895759257,2456284.993303915,T Sex,2456284.993303915,2456275.8230192345,0.3247475,5.7375063422116185e-06,0.2381994643731069,9.170284680556506,28.238199464373107
130,T_Sex__05.fits,2012-12-24 11:16:10.38,09:54:13.20,+01:55:04.70,2456285.969564583,2456285.973374724,T Sex,2456285.973374724,2456275.8230192345,0.3247475,5.7375063422116185e-06,0.25614666612949577,10.150355489458889,31.256146666129496
58,T_Sex__06.fits,2012-12-24 12:29:42.66,09:54:16.40,+01:55:06.40,2456286.020632639,2456286.024446033,T Sex,2456286.024446033,2456275.8230192345,0.3247475,5.7375063422116185e-06,0.41341133797109464,10.201426798477769,31.413411337971095
18,UY_Cam_01.fits,2012-12-21 10:20:37.31,08:00:13.00,+72:37:56.80,2456282.930987384,2456282.93525779,UY Cam,2456282.93525779,2456575.7760999613,0.2670395,5.747261825419349e-06,0.3800536208818812,-292.8408421711065,-1096.6199463791181
