,name_match,feh,err_feh,feh_mapped,err_feh_mapped
225,WY_Pav,-0.98,0.37,-1.069609,0.417317808976564
226,BH_Pav,-1.6,0.41,-1.764939,0.4630640709718256
227,BN_Pav,-1.32,0.15,-1.450919,0.17541569886700561
228,BP_Pav,-1.48,0.12,-1.630359,0.14447084433891844
229,DN_Pav,-1.54,0.21,-1.697649,0.2415455788893682
230,HV_Pav,-1.64,0.15,-1.809799,0.17714898521018965
231,VV_Peg,-1.88,0.1,-2.078959,0.1272979418686728
232,AE_Peg,-1.84,0.08,-2.034099,0.10761422812992713
233,AV_Peg,-0.14,0.22,-0.12754900000000002,0.24946989404735795
234,BH_Peg,-1.38,0.21,-1.518209,0.24092083332289882
235,CG_Peg,-0.48,0.07,-0.508859,0.08751325550452344
236,DZ_Peg,-1.52,0.18,-1.675219,0.20877970342923663
237,GV_Peg,-1.99,0.07,-2.202324,0.10032359214561648
238,AR_Per,-0.43,0.13,-0.45278399999999996,0.1507393847307332
239,TZ_Phe,-1.29,0.14,-1.417274,0.16453765786591226
240,U_Pic,-0.73,0.23,-0.789234,0.26120168220936096
241,RY_Psc,-1.39,0.09,-1.529424,0.11305431376555253
242,BB_Pup,-0.57,0.17,-0.609794,0.19469419998808388
243,HH_Pup,-0.69,0.17,-0.744374,0.1949445554535956
244,V_Ret,-1.79,0.11,-1.978024,0.13650263873273658
245,X_Ret,-1.32,0.1,-1.450919,0.12267289547410219
246,V440_Sgr,-1.47,0.11,-1.619144,0.1340146987050301
247,V796_Sgr,-1.87,0.67,-2.0677440000000002,0.7537986627933217
248,V1130_Sgr,-1.7,0.11,-1.8770889999999998,0.13575833537945284
249,V1644_Sgr,-2.51,0.35,-2.7855039999999995,0.39935865852764474
250,V1645_Sgr,-1.74,0.23,-1.921949,0.2642646390287584
251,V1646_Sgr,-1.41,0.13,-1.5518539999999998,0.15455003921384167
252,V2279_Sgr,-1.16,0.11,-1.2714789999999998,0.13203764811976923
253,V765_Sco,-1.18,0.25,-1.293909,0.2843507541910167
254,RU_Scl,-1.25,0.13,-1.372414,0.15365915047598044
255,UZ_Scl,-1.14,0.45,-1.2490489999999999,0.5068354718851079
256,VX_Scl,-2.25,0.11,-2.4939139999999997,0.14082590573115444
257,WY_Scl,-1.51,0.39,-1.664004,0.4405945500582139
258,AE_Scl,-1.89,0.09,-2.0901739999999998,0.11764072535053495
259,VY_Ser,-1.82,0.23,-2.011669,0.2646120575654103
260,AN_Ser,-0.04,0.21,-0.015398999999999996,0.23835947113760758
261,AR_Ser,-1.78,0.11,-1.966809,0.13641824719955903
262,AT_Ser,-2.05,0.09,-2.269614,0.11935681432159623
263,AV_Ser,-1.2,0.11,-1.316339,0.13226807485179481
264,AW_Ser,-1.67,0.2,-1.8434439999999999,0.23120697810403562
265,BH_Ser,-1.59,0.08,-1.753724,0.10501236782398538
266,CS_Ser,-1.57,0.15,-1.731294,0.1767393434100059
267,DF_Ser,-0.74,0.15,-0.800449,0.1732045907041727
268,RV_Sex,-1.1,0.17,-1.2041890000000002,0.1961552003516603
269,SS_Tau,-0.28,0.14,-0.284559,0.1613989177287134
270,BI_Tel,-1.96,0.29,-2.168679,0.3310636523102468
271,HH_Tel,-1.02,0.14,-1.114469,0.16331030146319614
272,HY_Tel,-0.17,0.23,-0.161194,0.2605785066904022
273,U_Tri,-0.79,0.08,-0.8565240000000001,0.09899097310361182
274,RW_TrA,0.07,0.13,0.107966,0.15035369403177296
275,W_Tuc,-1.64,0.17,-1.809799,0.19857351626286926
276,YY_Tuc,-1.82,0.16,-2.011669,0.18889846898267862
277,AE_Tuc,-0.8,0.27,-0.867739,0.3056970075499595
278,AG_Tuc,-1.95,0.1,-2.157464,0.12797551875261143
279,BK_Tuc,-1.82,0.39,-2.011669,0.44134969832209014
280,RV_UMa,-1.19,0.16,-1.305124,0.1856319333412223
281,TU_UMa,-1.44,0.16,-1.585499,0.18677100250306525
282,AB_UMa,-0.72,0.59,-0.778019,0.662954282110765
283,FS_Vel,-1.17,0.2,-1.282694,0.22921723217070747
284,ST_Vir,-0.88,0.11,-0.957459,0.1306347010904836
285,UU_Vir,-0.82,0.2,-0.890169,0.2282349350647267
286,UV_Vir,-1.19,0.15,-1.305124,0.1748146209588889
287,WW_Vir,-2.13,0.21,-2.3593339999999996,0.24442019480599386
288,WY_Vir,-2.84,0.22,-3.1555989999999996,0.25966552600605264
289,AD_Vir,-1.15,0.11,-1.2602639999999998,0.13198120064994104
290,AE_Vir,-1.16,0.25,-1.2714789999999998,0.2842976572555602
291,AF_Vir,-1.46,0.37,-1.607929,0.41822214800390467
292,AM_Vir,-1.45,0.11,-1.596714,0.13387405321794063
293,AS_Vir,-1.49,0.16,-1.6415739999999999,0.1870238576118031
294,AT_Vir,-1.91,0.21,-2.1126039999999997,0.24324434920671845
295,AV_Vir,-1.32,0.3,-1.450919,0.3401023658900361
296,BQ_Vir,-1.32,0.27,-1.450919,0.30685808578070745
297,DO_Vir,-0.8,0.15,-0.867739,0.17337659307126782
298,FU_Vir,-1.17,0.09,-1.282694,0.111435738203684
299,SV_Vol,-2.18,0.11,-2.415409,0.1401137809389212
300,FH_Vul,-0.85,0.25,-0.9238139999999999,0.2835897718977185
301,FK_Vul,-0.95,0.58,-1.0359639999999999,0.6519512004743913
